1579049485905	100001	ec9302088a114e2e8ed8	0	783	183	737	426	3
1579049545905	100002	ecde6c2b69604fb68af4	42	840	186	886	80	2
1579049605905	100003	feac36084233427d8e39	84	130	305	651	885	2
1579049665905	100004	8cdd5be3bee844d7b824	126	157	7	252	399	1
1579049725905	100005	9b78a41610e941af8494	171	950	107	796	567	3
1579049785905	100006	95c513b326d448d6b520	213	539	337	935	625	3
1579049845905	100007	557e123beed243b9aa66	255	675	630	52	810	3
1579049905905	100008	812b2611659349e89000	300	450	269	753	26	2
1579049965905	100009	06c4c1f431234115be4e	342	874	819	970	376	4
1579050025905	100010	5be3028aa9d0462e96eb	384	28	531	361	116	2
1579050085905	100011	449641085e7c4188b7e8	426	662	279	625	581	3
1579050145905	100012	ffcf82a01b68454a8a84	471	287	93	142	240	1
1579050205905	100013	d57142f62f0e4ea4b0a6	513	102	777	475	473	2
1579050265905	100014	bd980592ed554c569dec	555	377	180	767	145	2
1579050325905	100015	cf5c0db33f0348e4bcd8	600	417	473	282	845	3
1579050385905	100016	3547b46ba7a249cb9fa6	642	354	984	705	166	3
1579050445905	100017	b7c396f2e4d24f49a632	684	360	905	881	98	3
1579050505905	100018	fa67a55bedc343b98733	726	676	430	264	407	2
1579050565905	100019	90b2f9a659454b0f8c83	771	327	933	526	527	3
1579050625905	100020	87fd704586a24ff2977c	813	406	41	91	773	2
1579050685905	100021	0e801ea8fe60442bbe08	855	283	924	363	234	2
1579050745905	100022	573584ca4eca4aa6b03e	900	956	587	596	219	3
1579050805905	100023	b6ee267b48154b7a9393	942	828	78	448	99	2
1579050865905	100024	7295b69b5f244d46b25e	984	552	674	46	89	2
1579050925905	100025	43dbc947d0224416964f	1026	340	389	834	926	3
1579050985905	100026	403c4b21918d47c2b55b	1071	668	198	309	741	2
1579051045905	100027	32bbba4d6903471bbf49	1113	391	390	919	223	2
1579051105905	100028	ce55aabc3a5b4c9bb053	1155	533	943	665	674	3
1579051165905	100029	f3d7562ac38140ec8f1d	1200	649	823	927	229	3
1579051225905	100030	dd4ecefe8096442ca7b7	1242	921	720	250	499	3
1579051285905	100031	2305bbcdb49141ec8840	1284	682	536	332	529	3
1579051345905	100032	4ac8f3db57e243e3a50f	1326	809	977	836	397	4
1579051405905	100033	53a1f614f8454bf1bd3c	1371	524	308	578	814	3
1579051465905	100034	c293b6b62bb845408c12	1413	183	934	533	642	3
1579051525905	100035	348bba6d81c04fa48116	1455	867	487	887	384	3
1579051585905	100036	14f7212e36ed4a7c94f0	1500	161	82	258	835	2
1579051645905	100037	c1561c4fb9904b96b344	1542	212	270	371	31	1
1579051705905	100038	9c0d83f25f3944e2ac2a	1584	987	321	669	979	3
1579051765905	100039	410b7fccb19e49f88fc3	1626	206	924	249	51	2
1579051825905	100040	39cc9538d8d64bd387c0	1671	320	975	17	576	2
1579051885905	100041	cf17ee5f95194b6ba928	1713	251	41	452	630	2
1579051945905	100042	3387583c383a44feaac4	1755	594	139	179	539	2
1579052005905	100043	add17de31465447db374	1800	599	954	914	927	4
1579052065905	100044	a5d08d92c5184c37bbf6	1842	53	272	851	52	2
