1579108825905	100990	14ec3bba8f0648ef9487	42384	840	576	866	609	3
1579108885905	100991	35e12115f6b94d77992e	42426	694	186	739	837	3
1579108945905	100992	c5275b1c53c84bb48cdb	42471	101	739	683	593	3
1579109005905	100993	9bab12bed4de4caca3fb	42513	468	915	535	171	3
1579109065905	100994	26b168da507c41bda787	42555	535	928	319	18	2
1579109125905	100995	3755e930c84242129a2c	42600	957	769	79	564	3
1579109185905	100996	84dbc611e7984682badb	42642	673	75	95	212	2
1579109245905	100997	a57807ef72824733bc1e	42684	662	738	893	735	4
1579109305905	100998	75d715df90524513801e	42726	715	166	34	860	2
1579109365905	100999	6c8b6670d6d741109168	42771	390	135	506	213	2
1579109425905	101000	044074c56eda48c09707	42813	637	438	181	343	2
